Predicted XUV Line Intensities
CHIANTI database - Version 9.0
Calculated with Constant density=  1.00e+09 (cm-3) 
1210.1 to 1253.8 Angstroms
Number of lines:  205
Minimum intensity =        5444632.2
Units are:  photons cm-2 sr-1 s-1
Calculated: 24/May/21 13:03:45

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Thu Dec  7 13:00:33 2017

 Elemental Abundance file: sun_photospheric_2011_caffau.abund
created for the CHIANTI atomic database by Peter Young, 27-Jun-2012
abundance: Caffau, E., Ludwig, H.-G., Steffen, M., Freytag, B. \& Bonifacio, P. 2011, Sol. Phys. 
              268, 255  <bibcode="2011SoPh..268..255C">
            Lodders, K., Palme, H., \& Gail, H.P. 2009, Astronomy, Astrophysics, and Cosmology, B: 
              Solar System, Landolt-Bornstein, New Series VI/4, Spring, Berlin, 560 
              <bibcode="2009LanB...4B...44L">
comment:
   Caffau et al. (2011) provided new abundances for 12 elements, 8 of which have Z<31. Caffau et al.
   recommend combining these values with the abundances of Lodders et al. (2009), and so all other
   abundances are from this paper.
Minimum abundance =   4.16869e-08

Differential Emission Measure file: quiet_sun.dem
filename: quiet\_sun.dem
dem: produced by chianti\_dem.pro
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average Quiet Sun,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
1236.9730    7.05e+07 Fe VI          5.2   3p63d24s 4F5/2 - 3p63d24p 4D3/2
1237.1490    7.49e+07 Fe XI          6.1   3s2 3p4 3P2 - 3s2 3p4 1S0
1237.1870    1.58e+07 Al IV          5.4   2s2 2p5 3p 3D3 - 2s2 2p5 3d 3F4
1237.5460    2.48e+07 O IV           5.3   2s 2p 3p 2S1/2 - 2s 2p 4s 2P1/2
1238.1780    4.22e+07 Fe III         4.4   3s2 3p6 3d6 3G3 - 3s2 3p6 3d5 4s 3D2
1238.3440    2.61e+08 Fe III         4.4   3s2 3p6 3d6 3G3 - 3s2 3p6 3d5 4s 3D1
1238.6949    1.96e+07 Fe VI          5.2   3p63d24s 4F3/2 - 3p63d24p 2F5/2
1238.8210    8.23e+11 N V            5.2   1s2.2s 2S1/2 - 1s2.2p 2P3/2
1239.4080    8.76e+06 Fe III         4.4   3s2 3p6 3d6 3F2 - 3s2 3p6 3d5 4s 3P0
1239.5170    8.41e+06 Fe III         4.4   3s2 3p6 3d6 3F2 - 3s2 3p6 3d5 4s 3P1
1239.9260    6.18e+10 Mg II          4.0   3s 2S1/2 - 4p 2P3/2
1240.0740    1.01e+08 Fe VI          5.2   3p63d24s 2D3/2 - 3p63d24p 2D3/2
1240.3950    3.53e+10 Mg II          4.0   3s 2S1/2 - 4p 2P1/2
1240.8610    8.17e+06 Al IV          5.4   2s2 2p5 3p 3D2 - 2s2 2p5 3d 3F3
1240.9950    3.95e+07 Fe III         4.4   3s2 3p6 3d6 3F4 - 3s2 3p6 3d5 4s 3P2
1241.1890    9.09e+06 Fe VI          5.2   3p63d24s 4P3/2 - 3p63d24p 2D5/2
1241.2140    1.96e+07 Fe III         4.4   3s2 3p6 3d6 3F3 - 3s2 3p6 3d5 4s 3P1
1241.2889    7.88e+06 Fe III         4.4   3s2 3p6 3d6 3F3 - 3s2 3p6 3d5 4s 3P2
1241.5880    2.76e+07 Fe III         4.4   3s2 3p6 3d6 1G4 - 3s2 3p6 3d5 4p 3I5
1242.0050    7.67e+10 Fe XII         6.2   3s2 3p3 4S3/2 - 3s2 3p3 2P3/2
1242.1760    2.49e+08 O IV           5.3   2s2 3d 2D3/2 - 2s2 4p 2P3/2
1242.2910    5.10e+08 O III          5.0   2s.2p3 1P1 - 2s2.2p3p 1P1
1242.4340    2.24e+09 O IV           5.3   2s2 3d 2D5/2 - 2s2 4p 2P3/2
1242.6639    1.99e+07 Fe VI          5.2   3p63d24s 4F7/2 - 3p63d24p 2F7/2
1242.8040    4.13e+11 N V            5.2   1s2.2s 2S1/2 - 1s2.2p 2P1/2
