Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+09 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14289
Minimum intensity =    8.4748042e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 06/May/22 17:54:08

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
515.7560     1.45e-04 N V            5.3   1s2.3d 2D5/2 - 1s2.5p 2P3/2
515.7780     2.41e-05 S XII          6.2   2s2 2p 2P1/2 - 2s 2p2 4P1/2
515.7870     3.10e-03 Ne III         5.1   2s.2p5 3P0 - 2s2.2p3(2D).3p 3P1
515.8410     3.89e-04 Fe XII         6.1   3s2 3p3 2P3/2 - 3s 3p4 4P5/2
515.9290     1.40e-05 Ar VII         5.6   3p 3d 3D2 - 3d2 3P2
515.9310     2.77e-02 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 1D2
515.9990     8.61e-03 Na VI          5.7   2s 2p3 1D2 - 2p4 1D2
516.1320     1.89e-04 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3F3
516.1430     1.95e-05 O III          5.0   2s 2p3 3D1 - 2s2 2p 3p 1S0
516.1580     2.68e-04 S V            5.2   3s2 1S0 - 3p2 1D2
516.2380     2.39e-05 Ne V           5.6   2s 2p2 3p 5P3 - 2s 2p2 4d 5P3
516.3440     2.35e-02 Si IV          4.9   3p 2P3/2 - 5s 2S1/2
516.3940     2.51e-03 O IV           5.3   2p3 2P1/2 - 2s 2p 3p 2D3/2
516.4010     2.02e-05 Ar VII         5.6   3p 3d 3D3 - 3d2 3P2
516.4150     4.82e-04 O IV           5.3   2p3 2P3/2 - 2s 2p 3p 2D3/2
516.4490     9.93e-06 Fe X           5.9   3s2 3p4 3d 2D3/2 - 3s 3p5 3d 4F3/2
516.4830     2.60e-04 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 3F3
516.6410     8.24e-04 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 1F3
516.8870     1.66e-05 K VIII         5.8   3s 4d 3D1 - 3s 5f 3F2
516.9830     2.92e-05 Si XI          6.1   2s 3d 3D3 - 2p 3d 3F4
517.1170     2.38e-05 K VIII         5.8   3s 4d 3D2 - 3s 5f 3F3
517.4340     4.55e-05 Fe VII         5.7   3p6 3d 4s 3D2 - 3p5 3d3(a 2D) 1D2
517.4450     5.18e-03 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3F2
517.5180     4.27e-05 K VIII         5.8   3s 4d 3D3 - 3s 5f 3F4
517.7010     5.47e-04 Ar IX          5.9   2s2 2p5 3p 1P1 - 2s2 2p5 3d 1D2
517.8090     2.21e-03 Si V           5.6   2s2 2p5 3p 3S1 - 2s2 2p5 4s 3P2
517.8400     9.10e-06 Al IX          5.9   2s2 3s 2S1/2 - 2s 2p 3s 2P3/2
518.0490     1.12e-05 Mn XIV         6.2   3s 3p 1P1 - 3p2 1D2
518.1990     2.45e-05 Mg IX          5.9   2s 4d 1D2 - 2s 5p 1P1
518.2490     2.74e-01 S V            5.2   3s 3p 1P1 - 3s 4s 1S0
518.2740     1.13e-04 Fe VIII        5.8   3s2 3p6 4d 2D5/2 - 3s2 3p5 3d 4s 4F7/2
518.4090     8.56e-06 O V            5.4   2p 3d 3P1 - 2p 5p 3P1
518.9200     6.14e-05 K VIII         5.8   3s 4d 1D2 - 3s 5f 1F3
519.1080     9.78e-06 C III          5.0   2p2 1D2 - 2s 5s 1S0
519.2090     1.71e-04 N III          5.1   2p3 4S3/2 - 2s 2p 4p 4P5/2
519.2320     1.33e-03 Mg VI          5.7   2s2.2p3 2D5/2 - 2s.2p4 4P5/2
519.2380     3.41e-04 Ca VIII        5.8   3s.3p2 2P1/2 - 3s.3p(3P).3d 2D3/2
519.2670     2.48e-04 Mg VI          5.7   2s2.2p3 2D3/2 - 2s.2p4 4P5/2
519.3520     1.40e-04 N III          5.1   2p3 4S3/2 - 2s 2p 4p 4P3/2
