Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+10 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14831
Minimum intensity =        259397.92
Units are:  photons cm-2 sr-1 s-1
Calculated: 12/Oct/21 20:15:29

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
515.1780     9.31e+07 Ne III         5.1   2s.2p5 3P1 - 2s2.2p3(2D).3p 3P0
515.3444     4.42e+05 C V            5.9   1s.3d 3D3 - 1s.5p 3P2
515.3948     8.44e+05 C V            5.9   1s.3d 3D2 - 1s.5p 3P1
515.3948     2.82e+05 C V            5.9   1s.3d 3D1 - 1s.5p 3P1
515.3948     5.16e+05 C V            5.9   1s.3d 3D1 - 1s.5p 3P0
515.4400     2.78e+05 Ne V           5.6   2s 2p2 3p 5P3 - 2s 2p2 4d 5P2
515.5650     2.61e+09 Ca IX          5.8   3s 3p 3P2 - 3p2 3P1
515.6170     4.39e+09 He I           4.4   1s2 1S0 - 1s.5p 1P1
515.6970     4.18e+05 N V            5.3   1s2.3d 2D3/2 - 1s2.5p 2P3/2
515.7350     1.22e+08 O IV           5.3   2p3 2P3/2 - 2s 2p 3p 2D5/2
515.7400     2.09e+06 N V            5.3   1s2.3d 2D3/2 - 1s2.5p 2P1/2
515.7560     3.77e+06 N V            5.3   1s2.3d 2D5/2 - 1s2.5p 2P3/2
515.7780     5.12e+05 S XII          6.2   2s2 2p 2P1/2 - 2s 2p2 4P1/2
515.7870     7.94e+07 Ne III         5.1   2s.2p5 3P0 - 2s2.2p3(2D).3p 3P1
515.8410     7.49e+06 Fe XII         6.1   3s2 3p3 2P3/2 - 3s 3p4 4P5/2
515.9290     3.66e+05 Ar VII         5.6   3p 3d 3D2 - 3d2 3P2
515.9310     7.58e+08 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 1D2
515.9990     2.72e+08 Na VI          5.7   2s 2p3 1D2 - 2p4 1D2
516.1320     5.45e+06 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3F3
516.1430     5.20e+05 O III          5.0   2s 2p3 3D1 - 2s2 2p 3p 1S0
516.1580     6.97e+06 S V            5.2   3s2 1S0 - 3p2 1D2
516.2380     6.29e+05 Ne V           5.6   2s 2p2 3p 5P3 - 2s 2p2 4d 5P3
516.3440     6.10e+08 Si IV          4.9   3p 2P3/2 - 5s 2S1/2
516.3940     6.61e+07 O IV           5.3   2p3 2P1/2 - 2s 2p 3p 2D3/2
516.4010     5.27e+05 Ar VII         5.6   3p 3d 3D3 - 3d2 3P2
